state,pm25_mean,pm10_mean,station_count,ari_urban_nfhs6,ari_rural_nfhs6,ari_total_nfhs6,ari_total_nfhs5
Andhra Pradesh,42.173197618684256,77.98646301468027,10,0.7,1.1,1.0,2.4
Arunachal Pradesh,21.330970848173067,55.7871061971062,1,0.2,0.7,0.5,2.1
Assam,85.84169480204055,167.64516833488764,9,0.9,0.6,0.6,2.5
Bihar,96.54846756238517,193.1509873068509,35,2.4,3.3,3.2,3.5
Chandigarh,58.92375365946128,114.41076244318496,3,1.1,*,1.0,0.3
Chhattisgarh,36.38943891475263,87.24763256393867,14,0.5,0.8,0.7,1.5
Gujarat,58.85708613767133,110.07035192194483,17,0.8,0.7,0.8,1.0
Haryana,76.20916033960371,153.76548340731702,30,0.7,1.4,1.2,2.3
Himachal Pradesh,67.76434797529168,158.3228553415864,1,0.9,1.0,1.0,1.5
Jammu and Kashmir,28.52661039122851,84.16598791201943,1,1.1,2.3,2.1,3.8
Jharkhand,76.8378222561064,146.06786613830707,2,1.0,2.5,2.3,2.1
Karnataka,34.964302464514475,73.36930892261755,39,0.6,0.9,0.8,1.5
Kerala,30.438299537870257,58.54697835254345,9,3.1,2.6,2.8,2.4
Madhya Pradesh,52.01540448830472,122.29423821630625,22,1.3,1.4,1.4,2.6
Maharashtra,49.2655571211036,105.25729222935503,41,1.6,2.0,1.8,3.2
Meghalaya,20.8385223036803,35.5401202461463,2,1.1,1.0,1.0,4.8
Mizoram,14.817325628198493,39.228573724212815,1,0.6,0.2,0.4,0.6
NCT of Delhi,108.77221008839831,216.636239715763,40,1.3,0.4,1.3,5.6
Nagaland,32.54966000108974,74.73519640796668,1,0.0,0.4,0.3,1.1
Odisha,73.183465453361,152.61093250396172,12,1.1,1.2,1.2,3.2
Puducherry,24.107366900986317,49.290005924170615,1,1.5,0.0,0.8,4.9
Punjab,51.19156360910915,113.26143300549113,8,0.3,0.5,0.5,2.5
Rajasthan,48.89887567440485,128.25850195741756,35,2.6,1.5,1.7,2.9
Sikkim,20.765613268608412,37.30982833393567,1,0.0,0.3,0.2,0.7
Tamil Nadu,32.43210490356312,62.09696367061487,26,0.3,0.9,0.6,1.1
Telangana,36.45066220619132,72.15887801129317,14,0.5,0.4,0.4,2.2
Tripura,59.352324677914126,101.4711696528615,2,0.3,1.4,1.3,1.3
Uttar Pradesh,72.57882787128432,145.41261190880522,57,2.1,2.7,2.6,3.5
Uttarakhand,36.44794320073953,81.81527595054371,3,2.4,3.1,2.9,2.3
West Bengal,57.00937214800024,113.29170611614383,14,2.1,2.5,2.4,2.8
